network,node,node_group,node_strength,node_degree_centrality,node_betweenness,node_eigen,node_closeness
pinks,119,group1,3.0,0.07317073170731707,0.006493506493506494,0.13378861077891332,0.5
pinks,125,group1,1.0,0.024390243902439025,0.0,0.012898353414111665,0.3684210526315789
pinks,211,group2,3.0,0.07317073170731707,0.14835164835164835,0.10653396601515294,0.56
pinks,214,group2,3.0,0.07317073170731707,0.003746253746253747,0.07392506030014338,0.4375
pinks,314,group3,3.0,0.07317073170731707,0.006493506493506494,0.13378861077891332,0.5
pinks,316,group3,4.0,0.0975609756097561,0.020068820068820072,0.19532037210202835,0.5185185185185185
pinks,318,group3,10.0,0.24390243902439024,0.0976800976800977,0.42507897972255043,0.6363636363636364
pinks,514,group5,3.0,0.07317073170731707,0.004639804639804641,0.13676617310922126,0.5
greens,110,group1,2.0,0.05128205128205128,0.0,0.03318443283568824,0.2716165413533834
greens,111,group1,9.0,0.23076923076923078,0.13937621832358674,0.5303448090257437,0.4473684210526316
greens,112,group1,3.0,0.07692307692307693,0.3887496519075467,0.19038150713259028,0.4473684210526316
greens,113,group1,4.0,0.10256410256410256,0.00278473962684489,0.27649672606245024,0.3456937799043062
greens,114,group1,4.0,0.10256410256410256,0.0,0.014372615527728453,0.2925101214574899
greens,118,group1,4.0,0.10256410256410256,0.00278473962684489,0.27649672606245024,0.3456937799043062
greens,119,group1,3.0,0.07692307692307693,0.00278473962684489,0.22242529374066242,0.3456937799043062
greens,122,group1,4.0,0.10256410256410256,0.0,0.014372615527728453,0.2925101214574899
greens,213,group2,1.0,0.02564102564102564,0.0,0.002482339320918075,0.2270227808326787
greens,214,group2,4.0,0.10256410256410256,0.0,0.014372615527728453,0.2925101214574899
greens,310,group3,5.0,0.1282051282051282,0.0935672514619883,0.014730633123334032,0.2982456140350877
greens,311,group3,1.0,0.02564102564102564,0.0,1.4419283831547213e-19,0.05263157894736842
greens,312,group3,1.0,0.02564102564102564,0.0,1.4419283831547213e-19,0.05263157894736842
greens,313,group3,2.0,0.05128205128205128,0.0,0.11594722070928083,0.3456937799043062
greens,314,group3,4.0,0.10256410256410256,0.0659983291562239,0.23203312583053629,0.36215538847117795
greens,316,group3,4.0,0.10256410256410256,0.00278473962684489,0.27649672606245024,0.3456937799043062
greens,318,group3,11.0,0.28205128205128205,0.36856028961292125,0.5579064353687747,0.49066213921901525
greens,319,group3,5.0,0.1282051282051282,0.3508771929824561,0.041821617402767026,0.38026315789473686
greens,510,group5,3.0,0.07692307692307693,0.01837928153717627,0.06663857359730312,0.2869910625620655
greens,514,group5,4.0,0.10256410256410256,0.10136452241715399,0.1303395249694666,0.36215538847117795
hetero,110,group1,9.0,0.25,0.34285714285714286,0.38029330816715146,0.6
hetero,111,group1,7.0,0.19444444444444445,0.0,0.4426509942540825,0.5172413793103449
hetero,112,group1,3.0,0.08333333333333333,0.0,0.11157343452807592,0.40540540540540543
hetero,116,group1,5.0,0.1388888888888889,0.36190476190476195,0.08999738957516845,0.5172413793103449
hetero,117,group1,2.0,0.05555555555555555,0.06666666666666668,0.09420215173807131,0.42857142857142855
hetero,121,group1,2.0,0.05555555555555555,0.0,0.01503854001064152,0.35714285714285715
hetero,124,group1,1.0,0.027777777777777776,0.0,0.012885323236260397,0.3488372093023256
hetero,211,group2,3.0,0.08333333333333333,0.0,0.11157343452807592,0.40540540540540543
hetero,213,group2,9.0,0.25,0.009523809523809525,0.46048814574573,0.5555555555555556
hetero,214,group2,3.0,0.08333333333333333,0.0,0.15694963450883645,0.42857142857142855
hetero,318,group3,12.0,0.3333333333333333,0.6285714285714287,0.5010126244015551,0.6818181818181818
hetero,418,group4,3.0,0.08333333333333333,0.002380952380952381,0.14049052654875202,0.40540540540540543
hetero,419,group4,2.0,0.05555555555555555,0.0,0.01503854001064152,0.35714285714285715
hetero,510,group5,2.0,0.05555555555555555,0.0,0.08461653343301985,0.46875
hetero,511,group5,3.0,0.08333333333333333,0.002380952380952381,0.14049052654875202,0.40540540540540543
hetero,514,group5,6.0,0.16666666666666666,0.18809523809523812,0.28743104952509335,0.5555555555555556
