network,node1,node2,shortest_path,distance,path_in_N_networks,edge_weight,edge_betweenness
hetero,313,510,"[313, 514, 510]",2,1,,
hetero,313,511,"[313, 318, 110, 511]",3,1,,
hetero,313,316,"[313, 318, 316]",2,1,,
hetero,312,313,"[312, 311, 214, 318, 313]",4,1,,
hetero,312,314,"[312, 311, 214, 510, 314]",4,1,,
hetero,312,318,"[312, 311, 214, 318]",3,1,,
hetero,312,319,"[312, 311, 214, 319]",3,1,,
hetero,312,415,"[312, 311, 214, 213, 415]",4,1,,
hetero,312,418,"[312, 311, 214, 110, 418]",4,1,,
hetero,312,419,"[312, 311, 214, 318, 116, 419]",5,1,,
hetero,312,510,"[312, 311, 214, 510]",3,1,,
hetero,312,511,"[312, 311, 214, 110, 511]",4,1,,
hetero,312,514,"[312, 311, 214, 110, 514]",4,1,,
hetero,311,313,"[311, 214, 318, 313]",3,1,,
hetero,311,314,"[311, 214, 510, 314]",3,1,,
hetero,311,318,"[311, 214, 318]",2,1,,
hetero,311,319,"[311, 214, 319]",2,1,,
hetero,311,415,"[311, 214, 213, 415]",3,1,,
hetero,311,418,"[311, 214, 110, 418]",3,1,,
hetero,311,419,"[311, 214, 318, 116, 419]",4,1,,
hetero,311,510,"[311, 214, 510]",2,1,,
hetero,311,511,"[311, 214, 110, 511]",3,1,,
hetero,311,514,"[311, 214, 110, 514]",3,1,,
hetero,310,311,"[310, 214, 311]",2,1,,
hetero,310,312,"[310, 214, 311, 312]",3,1,,
hetero,310,313,"[310, 319, 112, 318, 313]",4,1,,
hetero,310,314,"[310, 319, 112, 111, 314]",4,1,,
hetero,310,318,"[310, 319, 112, 318]",3,1,,
hetero,310,415,"[310, 213, 415]",2,1,,
hetero,310,418,"[310, 213, 418]",2,1,,
hetero,310,419,"[310, 213, 318, 116, 419]",4,1,,
hetero,310,510,"[310, 319, 112, 111, 314, 510]",5,1,,
hetero,310,511,"[310, 213, 511]",2,1,,
hetero,310,514,"[310, 319, 112, 318, 514]",4,1,,
hetero,310,316,"[310, 319, 112, 111, 316]",4,1,,
all,214,311,"[214, 311]",1,1,2.0,0.11954022988505747
hetero,214,312,"[214, 311, 312]",2,1,,
hetero,214,313,"[214, 319, 112, 318, 313]",4,1,,
hetero,214,314,"[214, 319, 112, 111, 314]",4,1,,
hetero,214,415,"[214, 213, 415]",2,1,,
hetero,214,418,"[214, 318, 110, 418]",3,1,,
hetero,214,419,"[214, 318, 116, 419]",3,1,,
all,214,510,"[214, 318, 510]",2,1,1.0,0.05318007662835248
hetero,214,511,"[214, 318, 110, 511]",3,1,,
